ID,"By agreeing to take part in this survey, you confirm that you have read, understood and agreed with the following statements. Please note that this survey will skip to the end if you disagree to take part: 
 
 _I agree that data gathered in this study will be stored anonymously and securely, and will be used for research purposes only. _
 
 _I understand that my participation is voluntary and that I am free to withdraw at any time without giving reason. _
 
 _I understand that all personal information will remain confidentially within OLIO's database, and that no personally identifiable information will be shared with any third party, and that no data will be made available that can allow me to be personally identified in the results of this research. _
 
 _I am 18 years of age or older. _
 
 I agree to take part in this survey:",How would you describe your gender?,What range best describes your age group?,Do you have any physical or mental health conditions or illnesses that are limiting your day to day activities?,Which of the following best describes your household?,"In general, how satisfied are you with your life?","Compared to others in my neighbourhood, I think my life overall is...",How often do you feel that you lack companionship?,How often do you feel isolated from others or left out?,To what extent are you able to turn to friends and family for help when you need it?,"How much do you agree with the following statement? 
 
 Generally, I borrow things and exchange favours with my neighbours.",Foodbank,Neighbours,Close family or friends,Community or faith group,None of the above,Other,"The next questions are about your household's diet in the past 12 months, since October of last year, and whether you were able to afford the food you needed. In the past 12 months, was the following statement true for you?
 
 We worried whether our food would run out before we got money to buy more.","The food that we bought just didn't last, and we didn't have money to get more.",We couldn't afford to eat balanced meals.,Did you or other adults in your household ever cut the size of your meals or skip meals because there wasn't enough money for food?,How often did this happen?,Did you ever eat less than you felt you should because there wasn't enough money for food?,Were you ever hungry but didn't eat because there wasn't enough money for food?,Did you lose weight because there wasn't enough money for food?,Did you or other adults in your household ever not eat for a whole day because there wasn't enough money for food?,How often did this happen?,"The next questions are about the food situation of your children. In the past 12 months, was the following statement true for you? 
 
 We relied on only a few kinds of low-cost food to feed our children because we were running out of money to buy food.","We couldn't feed our children a balanced meal, because we couldn't afford that.",The children were not eating enough because we just couldn't afford enough food.,Did you ever cut the size of any of the children's meals because there wasn't enough money for food?,Did any of the children ever skip meals because there wasn't enough money for food?,How often did this happen?,Were the children ever hungry but you just couldn't afford more food?,Did any of the children ever not eat for a whole day because there wasn't enough money for food?,household_food_security_label,Which of the following best describes the house you currently live in?,Other,Do you know the Energy Performance Certificate (EPC) rating for the house you currently live in?,Do you use a prepayment or pay-as-you-go meter to pay for your energy usage?,"The following questions are about challenges your household may have had paying energy bills or maintaining heating in your home in the past 12 months. 
 
 How frequently did your household reduce or forego expenses for basic household necessities, such as medicine or food, in order to pay an energy bill?","In the past year, how frequently did your household keep your home at a cold temperature that you felt was unsafe or unhealthy?","In the past year, how frequently did your household run behind on payments for energy bills, or receive a notice to disconnect?","In the last year, was there ever a time your household was unable to use your main source of heat because you could not afford to pay for gas or electricity?",About how many days over the past year has your household gone without heat because you could not afford to pay for gas or electricity?,"In the last year, was there ever a time your household was unable to use your main source of heat because the equipment was broken, and you couldn't afford to pay to repair or replace the equipment?","In the past year, did anyone in your household need medical attention because your home was too cold?",FS1,FS2,FS3,FS4,FS5,FS6,FS7,fuel-security_label,fuel-security_score,"In the past year, how often did you worry about making energy payments?","In the past year, how often did you worry about making rent/ mortgage payments?",Consider your grocery shopping habits in the past 12 months. How often have you avoided food that requires cooking to reduce energy usage?,Working full-time,Working part-time,Unemployed,Retired,Not working- looking after house/ children,Not working- long term sick or disabled,Student,Other,What is your annual household income before tax?,user_id,Start Date (UTC),Submit Date (UTC),response_time,survey_date,incentivised,lad_code,msoa_code,imd_decile
06k2u24j6epnm4yfaafhq206k2u24js6,1,Female,25 to 29,No,"Living with other adults that are non-family members, such as friends/ flatmates",7,Much better,Hardly ever or never,Hardly ever or never,To a large extent,Tend to agree,,,,,None of the above,,Never true,Never true,Sometimes true,No,,No,No,No,No,,,,,,,,,,Marginal food security,Buying the house on a mortgage,,Don't know,No,Never,Some months but not every month,Never,0,,0,0,,,,,,,,Marginal fuel-security,0,Almost every month,Never,Never,Working full-time,,,,,,,,Prefer not to say,2636667,22/11/2022 17:18,22/11/2022 17:21,3,22/11/2022,1,E09000022,E02000637,4
06or1d3m9fzlts2ph0206or1fgb3tojn,1,Male,25 to 29,No,Living with partner/ spouse (NO children or children have left home),8,Much better,Some of the time,Hardly ever or never,To some extent,Definitely disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,Don't know,Yes,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,Never,Never,Working full-time,,,,,,,,"£24,301- £37,900 p.a.",6574621,23/11/2022 13:25,23/11/2022 13:31,6,22/11/2022,1,E09000014,E02000404,4
06yngllxu1mxe3to806ynglepeqoovz6,1,Female,55 to 59,No,Living with partner/ spouse (NO children or children have left home),9,Much better,Hardly ever or never,Hardly ever or never,Not at all,Definitely disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Buying the house on a mortgage,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Never,Never,,Working part-time,,,,,,,"More than £58,900 p.a.",1443061,27/11/2022 13:09,27/11/2022 13:13,4,27/11/2022,1,E09000001,E02000001,10
07dvjz2l3tt3pstao007dvjzns4mzwcq,1,Male,65 to 69,No,"Living with other adults that are non-family members, such as friends/ flatmates",10,The same,Hardly ever or never,Hardly ever or never,To some extent,Tend to disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Owning the house outright,,Don't know,No,Never,1 or 2 months,Never,0,,0,0,,,,,,,,High fuel-security,0,Some months but not every month,,Almost every month,,,,Retired,,,,,"£14,901- £24,300 p.a.",5035532,25/11/2022 09:12,25/11/2022 09:18,6,22/11/2022,1,E09000028,E02000810,3
07f6xdfvyh4qsum2km07fwo8xhafi0gi,1,Male,55 to 59,Yes,Living on my own (NO children or children have left home),4,Worse,Some of the time,Often,Not at all,Definitely disagree,,,,,None of the above,,Sometimes true,Never true,Often true,Yes,Some months but not every month,Yes,No,No,No,,,,,,,,,,Low food security,Renting from private landlord,,B,Yes,1 or 2 months,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,Never,Almost every month,,,Unemployed,,,,,,"Less than £14,900 p.a.",1617721,23/11/2022 15:32,23/11/2022 15:37,5,22/11/2022,0,E09000010,E02000303,1
0815vr8ry8ya84fdr730815vr8u80tdb,1,Female,45 to 49,Yes,Living on my own (NO children or children have left home),8,Much better,Some of the time,Some of the time,To some extent,Definitely disagree,,,Close family or friends,,,,Sometimes true,Sometimes true,Sometimes true,Yes,Some months but not every month,Yes,Yes,Yes,Yes,,,,,,,,,,Very low food security,Renting from private landlord,,Don't know,Don't know,Some months but not every month,Some months but not every month,Some months but not every month,0,,0,1,,,,,,,,Low fuel-security,0,Some months but not every month,Some months but not every month,Never,,,,,Not working- looking after house/ children,,,,Prefer not to say,6468788,22/11/2022 21:56,22/11/2022 22:02,6,22/11/2022,1,E09000030,E02000867,4
0831vti54xii7bprqm740831v76577az,1,Female,25 to 29,No,"Living with other adults that are non-family members, such as friends/ flatmates",10,Much better,Hardly ever or never,Hardly ever or never,To a large extent,Definitely disagree,,,Close family or friends,,,,Sometimes true,Never true,Never true,No,,Yes,No,No,No,,,,,,,,,,Marginal food security,Renting from private landlord,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,1 or 2 months,Never,,Working part-time,,,,,Student,,Prefer not to say,350934,23/11/2022 06:42,23/11/2022 06:47,5,22/11/2022,1,E09000030,E02000883,2
08q21gl34o0smq8lzfz08q5qfg60zy8p,1,Female,35 to 39,No,Living with partner/ spouse (NO children or children have left home),8,The same,Hardly ever or never,Hardly ever or never,To a large extent,Definitely disagree,,,Close family or friends,,,,Never true,Often true,Never true,No,,No,No,No,No,,,,,,,,,,Marginal food security,Buying the house on a mortgage,,C,No,Never,1 or 2 months,Never,0,,0,0,,,,,,,,High fuel-security,0,Some months but not every month,Never,1 or 2 months,Working full-time,,,,,,,,Prefer not to say,2618255,27/11/2022 13:55,27/11/2022 13:58,3,27/11/2022,1,E09000029,E02000850,7
0a3r1sz8l0qvpr30a3r9jrcl7sged021,1,Female,30 to 34,No,Living with partner/ spouse (NO children or children have left home),9,Better,Hardly ever or never,Hardly ever or never,To a large extent,Definitely disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Buying the house on a mortgage,,C,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Never,Never,Working full-time,,,,,,Student,,"More than £58,900 p.a.",5822995,22/11/2022 15:43,22/11/2022 15:46,3,22/11/2022,1,E09000030,E02000883,2
0aj3hhtr8u5pk0a40aj3hhtrh5ebao1o,1,Female,35 to 39,No,Living with partner/ spouse (NO children or children have left home),9,Better,Hardly ever or never,Hardly ever or never,To a large extent,Tend to disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Buying the house on a mortgage,,E,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Never,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",6569267,27/11/2022 14:29,27/11/2022 14:45,16,27/11/2022,1,E09000008,E02000215,6
0ale3y04rg2bmqymgtzv0alekokgabaq,1,Male,30 to 34,No,"Living with other adults that are non-family members, such as friends/ flatmates",6,The same,Hardly ever or never,Hardly ever or never,To some extent,Tend to agree,,,Close family or friends,,,,Never true,Never true,Sometimes true,No,,No,No,No,No,,,,,,,,,,Marginal food security,Renting from private landlord,,Don't know,Don't know,Never,Some months but not every month,Never,0,,0,0,,,,,,,,Marginal fuel-security,0,Never,1 or 2 months,1 or 2 months,,,,,,,Student,,Prefer not to say,6690596,22/11/2022 15:41,22/11/2022 15:47,6,22/11/2022,1,E09000003,E02000064,3
0b3euqilbt0a2p0b3eu5txdg5eiytw5h,1,Female,25 to 29,No,"Living with other adults that are non-family members, such as friends/ flatmates",9,Better,Some of the time,Some of the time,To a large extent,Tend to agree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,E,Yes,Never,1 or 2 months,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,Some months but not every month,Some months but not every month,Working full-time,,,,,,,,"£37,901- £58,900 p.a.",6540883,22/11/2022 18:11,22/11/2022 18:16,5,22/11/2022,1,E09000013,E02000383,6
0bvwssy5ooxr4zm9p60bvwssyma3jgbo,1,Female,50 to 54,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",8,The same,Some of the time,Some of the time,To some extent,Tend to disagree,,,,,None of the above,,Never true,Never true,Sometimes true,No,,No,No,No,No,,,,,,,,,,Marginal food security,Buying the house on a mortgage,,D,No,Some months but not every month,Some months but not every month,Never,0,,0,0,,,,,,,,Low fuel-security,0,Some months but not every month,Some months but not every month,Almost every month,Working full-time,,,,,,,,Prefer not to say,4596465,28/11/2022 20:09,28/11/2022 20:17,8,27/11/2022,1,E09000017,E02000503,9
0c09boua7mww0c09byxx1cwrlp5e0brq,1,Female,50 to 54,Yes,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",5,The same,Often,Often,Not at all,Tend to agree,Foodbank,,,,,,Often true,Often true,Often true,Yes,Almost every month,Yes,Yes,Yes,Yes,,,,,,,,,,Very low food security,Living in rented accommodation arranged by the Local Authority,,Don't know,Yes,Almost every month,Almost every month,Never,1,120,0,0,,,,,,,,Low fuel-security,0,Almost every month,Almost every month,Almost every month,,,,,,Not working- long term sick or disabled,,,Prefer not to say,4808859,22/11/2022 18:05,22/11/2022 18:11,6,22/11/2022,1,E09000009,E02000245,2
0dn82b9n47ay5okdg51v0dn82bq4q8j1,1,Female,55 to 59,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",8,Better,Some of the time,Often,Not at all,Tend to disagree,,,,,None of the above,,Sometimes true,Never true,Never true,Yes,Only 1 or 2 months,Yes,No,Yes,No,,,,,,,,,,Low food security,Buying the house on a mortgage,,Don't know,Yes,Some months but not every month,Almost every month,Never,1,48,1,1,,,,,,,,Very low fuel-security,0,Almost every month,Almost every month,Some months but not every month,Working full-time,,,,,,,,"£37,901- £58,900 p.a.",5825086,22/11/2022 17:28,22/11/2022 17:33,5,22/11/2022,1,E09000025,E02000750,8
0e24d2uejtn3p5bc0eyl4leyjgpfqyd2,1,Male,40 to 44,Prefer not to say,"Living with other adults that are non-family members, such as friends/ flatmates",6,Worse,Some of the time,Some of the time,To some extent,Definitely disagree,Foodbank,,,,,,Sometimes true,Sometimes true,Sometimes true,Yes,Some months but not every month,Yes,Yes,Yes,Yes,,,,,,,,,,Very low food security,Temporarily living with friends and/ or family while attempting to find permanent accommodation,,Don't know,Yes,Some months but not every month,1 or 2 months,1 or 2 months,1,50,1,0,,,,,,,,Low fuel-security,0,Some months but not every month,Some months but not every month,Some months but not every month,,,Unemployed,,,,,,Prefer not to say,6244187,27/11/2022 14:21,27/11/2022 14:27,6,27/11/2022,1,E09000001,E02000001,6
0eog814857b8hgz90eogfgjqvvb6ip4s,1,Non binary/ other,35 to 39,No,Living on my own (NO children or children have left home),10,The same,Some of the time,Some of the time,To a large extent,Tend to agree,,,Close family or friends,,,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Buying the house on a mortgage,,Don't know,Don't know,Never,1 or 2 months,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,Almost every month,Some months but not every month,Working full-time,,,,,,,,Prefer not to say,1456524,22/11/2022 17:06,22/11/2022 17:10,4,22/11/2022,1,E09000028,E02000822,3
0f5b07424gzi72xj60f5bt9rsb5o3txt,1,Female,30 to 34,No,Living with partner/ spouse (NO children or children have left home),8,The same,Hardly ever or never,Hardly ever or never,To a large extent,Tend to agree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,E,No,Never,Some months but not every month,Never,0,,0,0,,,,,,,,Marginal fuel-security,0,Never,Never,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",5554352,22/11/2022 15:48,22/11/2022 15:52,4,22/11/2022,1,E09000012,E02000365,2
0fkatqwm9bc5juo6n0fkanrhwu841e76,1,Female,20 to 24,No,"Living with other adults that are non-family members, such as friends/ flatmates",7,Worse,Some of the time,Some of the time,To a large extent,Definitely disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,Don't know,No,Never,1 or 2 months,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Never,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",317113,27/11/2022 14:23,27/11/2022 14:27,4,27/11/2022,1,E09000032,E02000937,10
0jlqc5g8uqm8b55lhgb0jlqv1ef5mpod,1,Female,60 to 64,Yes,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",4,The same,Often,Often,To some extent,Definitely disagree,Foodbank,,,,,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Owning the house outright,,Don't know,No,1 or 2 months,1 or 2 months,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,,Never,,,,Retired,,,,Occassional parttime work,Prefer not to say,2064837,22/11/2022 16:05,22/11/2022 16:12,7,22/11/2022,1,E09000019,E02000563,2
0kc04k0mjrdjumkem1ge0kc04k0tbi6m,1,Female,25 to 29,No,"Living with other adults that are non-family members, such as friends/ flatmates",8,The same,Some of the time,Hardly ever or never,To a large extent,Tend to agree,,,,,None of the above,,Never true,Never true,Sometimes true,Yes,Some months but not every month,Yes,No,No,No,,,,,,,,,,Low food security,Renting from private landlord,,Don't know,Yes,Never,Some months but not every month,1 or 2 months,0,,0,0,,,,,,,,Marginal fuel-security,0,Some months but not every month,Some months but not every month,Never,,Working part-time,,,,,,,Prefer not to say,5227618,27/11/2022 13:11,27/11/2022 13:16,5,27/11/2022,1,E09000013,E02000387,4
0leorcocyfcrvz80leoh6w52kpj4sp1r,1,Female,25 to 29,No,Living with partner/ spouse (NO children or children have left home),7,Better,Some of the time,Some of the time,To some extent,Tend to agree,,,Close family or friends,,,,Sometimes true,Sometimes true,Sometimes true,Yes,Almost every month,Yes,Yes,Yes,No,,,,,,,,,,Very low food security,Renting from private landlord,,Don't know,Yes,Some months but not every month,Some months but not every month,Never,0,,0,0,,,,,,,,Low fuel-security,0,Some months but not every month,Never,Some months but not every month,,,,,Not working- looking after house/ children,,,,"£14,901- £24,300 p.a.",2641139,22/11/2022 15:40,22/11/2022 15:47,7,22/11/2022,1,E09000006,E02000131,4
0md75d7ml6sb667jk0mdhsadvn1tg7ol,1,Male,35 to 39,No,Living on my own (NO children or children have left home),5,The same,Some of the time,Some of the time,To some extent,Tend to disagree,,,Close family or friends,,,,Sometimes true,Often true,Often true,Yes,Some months but not every month,Yes,Yes,Yes,Yes,,,,,,,,,,Very low food security,Renting from private landlord,,Don't know,No,Some months but not every month,Almost every month,1 or 2 months,1,25,0,0,,,,,,,,Low fuel-security,0,Almost every month,Almost every month,Some months but not every month,Working full-time,,,,,,,,Prefer not to say,1827054,27/11/2022 12:47,27/11/2022 12:53,6,27/11/2022,1,E09000029,E02000857,8
0myboojw5fh0mdnekpofeww7ufo6a7dn,1,Male,60 to 64,Prefer not to say,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",3,Worse,Some of the time,Some of the time,Not at all,Definitely disagree,,,Close family or friends,,,,Sometimes true,Sometimes true,Sometimes true,Yes,Some months but not every month,Yes,Yes,Yes,No,,,,,,,,,,Very low food security,Owning the house outright,,Don't know,No,Some months but not every month,Some months but not every month,Never,1,30,0,0,,,,,,,,Low fuel-security,0,Some months but not every month,,Almost every month,Working full-time,,,,,,,,"£24,301- £37,900 p.a.",6419587,27/11/2022 22:49,27/11/2022 22:58,9,27/11/2022,1,E09000027,E02000796,6
0n6xrsh1h89yekazaw2y0n6xrspaumrt,1,Male,40 to 44,No,Living on my own (NO children or children have left home),7,The same,Often,Some of the time,To some extent,Tend to disagree,Foodbank,,Close family or friends,,,Olio and other food apps,Often true,Sometimes true,Sometimes true,Yes,Some months but not every month,Yes,Yes,Yes,No,,,,,,,,,,Very low food security,Living in rented accommodation arranged by the Local Authority,,D,No,Never,Some months but not every month,Some months but not every month,0,,0,0,,,,,,,,Low fuel-security,0,Some months but not every month,Some months but not every month,Almost every month,,,,,,Not working- long term sick or disabled,,,"Less than £14,900 p.a.",5435304,22/11/2022 16:03,22/11/2022 16:09,6,22/11/2022,1,E09000033,E02000975,7
